set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,
76149-1,The Menace of Mysterio,2020,706,163,3,29.99,1,4.7,Apr-21,27.42,31.41,
76150-1,Spiderjet vs. Venom Mech,2020,706,383,3,34.99,1,4.9,Oct-21,34.59,41.27,
76151-1,Venomosaurus Ambush,2020,706,648,5,74.99,2,4.7,Dec-21,86.36,93.49,
76152-1,Avengers Wrath of Loki,2020,702,223,4,54.99,2,4.7,Jun-21,57.4,66.9,
76159-1,Joker's Trike Chase,2020,697,440,4,44.99,0,4.6,Nov-21,43.22,44.63,
76160-1,Mobile Bat Base,2020,697,743,6,79.99,4,4.6,Oct-21,83.83,81.36,
76162-1,Black Widow's Helicopter Chase,2020,696,271,3,24.99,0,4.7,Mar-22,45.92,42.82,
76164-1,Iron Man Hulkbuster versus A.I.M. Agent,2020,702,456,4,49.99,2,4.7,Mar-22,36.55,47.67,
76165-1,Iron Man,2020,705,480,0,54.99,0,4.8,Oct-21,73.32,92.54,
76167-1,Iron Man Armory,2020,702,258,5,24.99,2,4.6,Mar-22,31.2,38.43,
76895-1,Ferrari F8 Tributo,2020,601,278,1,17.99,1,4.7,Nov-21,24.2,27.81,
76896-1,Nissan GT-R NISMO,2020,601,301,1,17.99,1,4.8,Mar-22,23.31,33.15,
76897-1,1985 Audi Sport quattro S1,2020,601,253,1,17.99,1,4.6,Nov-21,24.96,25.47,
76898-1,Formula E Panasonic Jaguar Racing GEN2 car & Jaguar I-PACE eTROPHY,2020,601,571,2,34.99,0,4.8,Jan-22,35.46,43.94,
77905-1,Taskmaster's Ambush,2020,696,230,3,31.59,0,4.8,Oct-20,75.99,62.52,
77906-1,Wonder Woman,2020,695,255,3,34.99,1,4.7,Oct-20,48.85,33.75,
77907-1,Toad's Special Hideaway Expansion Set,2020,690,121,0,17.99,0,4.9,Mar-21,63.96,69.86,
80006-1,White Dragon Horse Bike,2020,693,259,4,24.99,0,4.7,May-22,67.77,51.43,
80007-1,Iron Bull Tank,2020,693,430,4,39.99,0,4.7,May-22,60.2,68.74,
80009-1,Pigsy's Food Truck,2020,693,832,5,54.99,1,4.8,Nov-21,69.25,85.11,
80010-1,Demon Bull King,2020,693,1051,3,74.99,0,4.8,Nov-21,89.03,168.36,
80016-1,The Flaming Foundry,2020,693,1429,7,119.99,1,4.6,Mar-22,150.1,136.6,
80105-1,Chinese New Year Temple Fair,2020,686,1664,14,89.99,13,4.6,Nov-20,143.6,151.56,
92177-1,Ship in a Bottle,2020,576,962,0,69.99,0,4.8,Jan-22,89.09,88.96,
10264-1,Corner Garage,2019,155,2569,6,159.99,0,4.9,Dec-21,235.83,219.62,
10267-1,Gingerbread House,2019,228,1477,2,84.99,0,4.8,Oct-21,123.65,124.81,
10269-1,Harley-Davidson Fat Boy,2019,673,1023,0,84.99,0,4.9,Nov-21,108.18,108.23,
10768-1,Buzz and Bo Peep's Playground Adventure,2019,275,139,3,19.99,1,4.6,Dec-20,21.81,23.41,
10769-1,Toy Story 4 RV Vacation,2019,275,178,3,29.99,2,4.6,Nov-20,35.01,34.14,
10770-1,Buzz & Woody's Carnival Mania!,2019,275,230,5,44.99,3,4.5,Feb-21,41.78,37.02,
10895-1,Emmet and Lucy's Visitors from the DUPLO Planet,2019,504,53,0,24.99,0,4.5,Mar-20,22.9,30.24,
10907-1,World Animals,2019,632,121,0,89.99,0,4.7,Nov-21,107.8,116.9,
11004-1,Windows of Creativity,2019,621,450,0,24.99,0,4.7,Jan-21,24.46,48.44,
